year,week,grid,CPUE
2015,44,3,2.6625400213
2015,44,6,3.0525283019
2015,44,7,4.281100885
2015,44,12,3.4776
2015,44,13,3.2307009063
2015,44,14,3.4776
2015,44,15,2.9782712195
2015,44,16,2.6682352941
2015,44,17,5.5867061947
2015,44,18,4.4451184328
2015,44,19,3.6974117647
2015,44,32,6.3504
2015,44,33,4.6605900305
2015,44,34,3.9289390654
2015,44,35,2.3448813559
2015,44,36,4.17312
2015,44,44,3.7722970412
2015,44,45,4.2667265455
2015,44,46,3.5014711254
2015,44,47,3.5801234978
2015,44,55,4.2981731622
2015,44,56,3.1550441473
2015,44,57,2.1168
2015,45,1,3.024
2015,45,2,2.8942704
2015,45,3,2.8837113402
2015,45,5,2.1168
2015,45,6,3.0537810785
2015,45,7,3.7726779661
2015,45,11,2.2000958084
2015,45,12,2.9253913043
2015,45,13,2.9125556343
2015,45,14,3.456
2015,45,15,3.4914321767
2015,45,16,1.944
2015,45,17,5.4892556319
2015,45,18,4.8864375
2015,45,19,4.3848
2015,45,25,5.4119135925
2015,45,26,4.851588785
2015,45,27,5.3386051765
2015,45,28,3.68856
2015,45,29,3.3330528
2015,45,30,4.67775
2015,45,31,4.3702325581
2015,45,32,4.1648727273
2015,45,33,3.3610203462
2015,45,34,2.8836
2015,45,35,3.0368135593
2015,45,36,3.14496
2015,45,37,4.357584
2015,45,38,6.6293694915
2015,45,39,5.62300704
2015,45,40,5.9022650602
2015,45,41,6.9831585799
2015,45,42,4.4199114894
2015,45,43,4.6228133971
2015,45,44,4.1531308475
2015,45,45,4.1086763703
2015,45,46,3.31871904
2015,45,47,2.6414775866
2015,45,50,5.7078
2015,45,51,6.5430720000000004
2015,45,52,4.9821639344
2015,45,53,3.1831578947
2015,45,55,4.3477275314
2015,45,56,2.7905787578
2015,45,57,1.49688
2015,45,63,7.6038581717
2015,45,64,6.8048982178
2015,45,65,3.714128773
2015,45,66,3.2555769231
2015,45,76,6.43734
2015,45,77,7.1087679144000004
2015,45,78,7.1143578947
2015,45,88,4.347
2015,45,98,3.87072
2015,46,1,3.5532
2015,46,2,2.529198
2015,46,3,1.9270588235
2015,46,5,2.8224
2015,46,6,2.1637906828
2015,46,7,2.9220819113
2015,46,8,1.034208
2015,46,9,2.94147
2015,46,10,2.58552
2015,46,11,2.6756251807
2015,46,12,2.3121649485
2015,46,13,2.306146789
2015,46,14,1.93536
2015,46,15,2.3008695652
2015,46,16,1.141316129
2015,46,17,4.468061704
2015,46,18,4.6209438202
2015,46,19,4.2336
2015,46,25,3.9113147113
2015,46,26,3.2996178466
2015,46,27,3.6614133538
2015,46,28,3.1423890135
2015,46,29,3.7916307692
2015,46,30,4.4195358282
2015,46,31,4.391876354
2015,46,32,3.6890290456
2015,46,33,3.5797982346
2015,46,34,2.808
2015,46,35,2.40975
2015,46,36,2.646
2015,46,37,4.9507108248
2015,46,38,4.9521095451
2015,46,39,5.1596912468
2015,46,40,4.6909565217
2015,46,41,5.4324077088
2015,46,42,4.2712931403
2015,46,43,4.1681202735
2015,46,44,4.5463398643
2015,46,45,3.3240341647
2015,46,46,3.104808
2015,46,47,2.2111027009
2015,46,50,5.5300500287
2015,46,51,7.0258981935
2015,46,52,3.6892380291
2015,46,53,6.1695561884
2015,46,55,4.1553346154
2015,46,56,2.4239733788
2015,46,57,1.30032
2015,46,62,4.7232
2015,46,63,4.7624230108
2015,46,64,5.7036072701
2015,46,65,4.2598659668
2015,46,66,4.9124281323
2015,46,75,6.1142611765
2015,46,76,5.5142387677
2015,46,77,5.7585583364
2015,46,78,4.693248
2015,46,88,5.04
2015,46,89,4.788
2015,46,98,3.31128
2015,47,1,1.5876
2015,47,2,1.08
2015,47,3,1.9787919463
2015,47,5,2.97675
2015,47,6,1.9421074766
2015,47,7,2.7018168224
2015,47,8,3.969
2015,47,9,2.3731591618
2015,47,10,3.2886
2015,47,11,2.4119599109
2015,47,12,1.944
2015,47,13,1.6081796071
2015,47,14,2.4624
2015,47,15,1.8984
2015,47,17,3.8826773639
2015,47,18,4.7032446043
2015,47,19,2.9723076923
